"","a1","a2","a3","a4","a5","a6","a7"
"1",1.2,36.5,1.9,0,1.2,0,28
"2",1.2,0,0,0,23.2,46.4,0
"3",7,23,6.5,1.4,21.2,0,2.1
"4",1.4,38.2,2.4,0,4.8,1,1.2
"5",3.9,55.4,8.4,0,0,0,0
"6",28.4,2.4,0,0,0,0,4.6
"7",11.4,1.7,6.1,0,2.2,0,1.9
"8",29.7,2,2,0,2.7,3.7,0
"9",74.3,1.7,1.4,0,1,0,0
"10",0,0,1.9,2.7,1.9,1.7,5.1
"11",0,0,0,19.6,0,0,4.6
"12",0,0,0,3,4.7,2.5,2
"13",62.5,0,0,1.4,0,0,0
"14",21.6,0,0,6.5,1,0,0
"15",41.9,0,0,0,0,0,0
"16",35.4,0,0,0,1.9,0,1.4
"17",0,2.7,6.1,0,3.4,22.8,0
"18",10.1,22,5.9,2.2,0,0,2.5
"19",83,0,0,0,0,0,0
"20",30.6,0,0,0,0,0,0
"21",19.4,14.7,1.7,1.4,2.1,0,3.3
"22",19.2,5,0,0,2.4,2.4,0
"23",5.7,0,0,4.4,12.4,8.3,7.8
"24",0,5.1,3.2,8.1,0,1,5.1
"25",2.3,3,0,0,4.6,45.7,0
"26",0,1.5,0,0,9.8,42.3,0
"27",31.8,0,0,0,24.6,10.3,0
"28",11.9,0,0,0,0,0,0
"29",20.4,0,0,1,21.1,14.5,5
"30",7.2,1.1,0,0,1.5,3.7,7
"31",57.8,0,12.5,1.2,4.8,0,1.2
"32",4,0,0,2.6,2.1,3,1.4
"33",42.8,0,0,0,0,0,0
"34",66.2,0,0,1,0,0,0
"35",75.2,0,0,0,0,0,0
"36",28.1,0,0,1.9,0,0,0
"37",74.8,0,0,1.2,0,0,0
"38",79.1,0,0,0,0,0,0
"39",25.1,0,0,2.9,2.2,3.4,1.9
"40",17.9,0,0,1.7,1.7,0,1.2
"41",41.5,0,0,0,0,0,0
"42",30.6,4.1,1.6,3.9,0,0,12.5
"43",7.6,19.4,15.5,3.2,2.9,0,1.5
"44",0,5.1,9.2,7.5,10.5,0,0
"45",2.8,23.4,1.7,0,15.1,10.9,0
"46",2.1,4,3.3,0,8,29.3,0
"47",3.2,1,0,0,5.1,17.8,0
"48",2.4,12.3,0,0,1.2,2.2,2.2
"49",35.2,6.9,1.2,2.9,13.6,1,0
"50",7.8,0,0,1.9,4.7,0,29.4
"51",2.9,0,4.6,1.7,10.6,27.6,3.1
"52",0,0,0,1.9,17.8,50.8,9.2
"53",0,0,0,8.7,6.1,0,0
"54",0,1,0,0,19.3,61.1,0
"55",0,7.7,0,0,11.6,54.3,0
"56",13.7,4.1,0,2.7,8,1.4,1.1
"57",1.2,1.5,0,0,14.1,70.7,1
"58",2.9,3.1,2.4,14.3,53.7,3.3,0
"59",11.2,0,0,2,61.1,5.1,0
"60",3.8,0,5.4,2.3,15.8,9.5,2.7
"61",14.2,0,0,2.8,13.2,22.4,0
"62",9.7,1.5,24.3,1.7,2.4,0,0
"63",8.7,31.9,0,0,3.4,0,0
"64",2.7,12.1,6.5,7,1.7,0,1.9
"65",14.5,1.2,5.2,0,1.6,8.4,0
"66",19.8,1,0,0,24.1,24.6,0
"67",7.6,15.1,13.7,2.7,5.4,0,1
"68",40.7,0,0,0,0,0,0
"69",37.1,1.2,0,0,0,0,0
"70",2.5,3.2,5.4,0,12.7,5,1.6
"71",3.5,5.6,19.8,1.4,9.5,2.1,1.2
"72",1,8.6,1.5,0,6.9,39.8,0
"73",0,0,0,0,37.9,19.8,0
"74",1,25.2,1,0,2.4,20.9,5.5
"75",4.1,0,1.5,1.9,16.2,3.1,1.5
"76",16.5,4.5,2.8,1.7,16.5,3.8,2.4
"77",4.9,15.9,1.5,0,3.4,25.7,1
"78",12.4,13.9,7.7,0,13.1,11.6,1.2
"79",5.9,41.8,11.2,0,0,0,0
"80",74.8,1.2,0,1.7,0,0,0
"81",1.9,22.9,1,1.2,0,0,3.9
"82",1.9,1,0,0,25.8,37.1,0
"83",2.1,3,1.4,0,12.8,16.9,0
"84",28.7,0,14.1,3.2,6.4,8.4,0
"85",1.4,10.1,2.4,3.4,18.1,0,1.4
"86",0,10.3,16,7.9,0,0,0
"87",4.2,26.5,12,3.9,1.5,0,0
"88",1.2,8.8,2.7,3.9,0,0,0
"89",2.4,0,3.6,1.9,2.9,4.6,0
"90",1.9,3.9,6.3,3.9,1.4,0,3.1
"91",12.3,0,0,0,10,12.8,0
"92",8,13.8,18.9,2.2,13.1,0,0
"93",11.9,24.5,0,5.6,2.7,0,0
"94",5.8,8.5,0,9,1.7,0,0
"95",1.2,12,0,0,0,0,1.7
"96",0,9.8,9.1,0,0,0,0
"97",11.8,7,0,1.2,0,0,0
"98",30.1,9.6,0,2.3,0,0,0
"99",0,0,14.6,0,4.5,1.7,4.5
"100",0,0,7.3,1.2,8.5,10.4,3.6
"101",4.6,4.6,0,1.7,1.7,0,0
"102",2.4,5.2,3.8,0,4.3,3.1,3.1
"103",0,6.2,1.7,0,11.2,1.7,1.7
"104",2.7,8.3,1.5,1,0,0,3.2
"105",5,0,0,4.1,4.7,15.3,0
"106",0,3.4,1.8,0,6.7,25.2,0
"107",0,19.2,3.4,0,1.2,5.8,1.2
"108",37.5,3.6,20.2,0,3.4,0,0
"109",35.9,12.4,0,0,0,0,0
"110",38.6,3.2,13.6,0,1.2,0,0
"111",34.7,1.4,2.3,0,0,0,0
"112",16,2.1,2.6,0,26.5,10.1,0
"113",26.7,0,0,0,0,4.9,0
"114",0,45.4,0,0,0,0,3.8
"115",2.2,12,1.2,0,0,0,1
"116",4.8,0,0,0,8.7,23.3,30.8
"117",0,0,1,0,9.2,7.7,10.1
"118",1.5,29.5,22.1,5.4,0,1.5,0
"119",18.8,17.1,2.2,0,4.6,3.7,0
"120",0,8.7,0,1.4,2.2,4.1,1.9
"121",1.2,31.2,5.7,0,3.5,3.5,0
"122",15.5,0,0,2.3,0,0,0
"123",23.2,0,0,0,27.6,11.1,0
"124",74.2,0,0,3.7,0,0,0
"125",13,8.6,1.2,3.5,1.2,1.6,1.9
"126",4.1,0,0,0,9.2,10.1,0
"127",29.7,0,0,4.9,0,0,0
"128",30.3,1.9,0,0,2.1,1.4,2.1
"129",17.1,0,19.6,0,0,0,2.5
"130",33.9,1,14.6,0,0,0,0
"131",48.3,2,0,0,0,0,0
"132",50.4,3.8,0,0,0,0,0
"133",56.8,5,0,0,0,0,0
"134",17.3,6.7,19.7,0,0,0,0
"135",16.8,19.6,4,0,0,0,0
"136",18.1,1.7,2,0,1.7,5.9,0
"137",1.1,3.9,2.1,0,3.9,4.6,2.3
"138",0,4.7,0,0,2.6,2.6,0
"139",0,12,1.7,0,2.7,0,0
"140",1.7,7,1.2,0,4.8,3.1,0
